IAMC Variable,IAMC Unit,IAMC Description,Variable,FRIDA Variable,FRIDA Unit,Transformation
Population,million,Total population,demographics_population,Demographics.Population[1],Mp (millions of people),direct pass-through
Food Availability [per capita],kcal/cap/day,Total food supply per capita; PCal/yr over population,calc_food_availability_kcal_cap_day,Total Food Demand.total food supply[*] over Demographics.Population[1],PCal/year over millions of people,divide by population then multiply by 1e6/365.25 = 2737.85 (PCal/Mp/yr -> kcal/cap/day)
Food Availability|Crops [per capita],kcal/cap/day,Crop supply for vegetal products per capita,calc_food_availability_crops_kcal_cap_day,Food Demand.crop supply for vegetal products[*] over Demographics.Population[1],PCal/year over millions of people,divide by population then multiply by 1e6/365.25 = 2737.85 (PCal/Mp/yr -> kcal/cap/day)
Food Availability|Livestock [per capita],kcal/cap/day,Animal products production per capita,calc_food_availability_livestock_kcal_cap_day,Animal Products.animal products production[*] over Demographics.Population[1],PCal/year over millions of people,divide by population then multiply by 1e6/365.25 = 2737.85 (PCal/Mp/yr -> kcal/cap/day)
Harvested Area|Forestry,million ha/yr,Forest area cut per year,land_use_cutting,Land Use.cutting[*],Mha/year,direct pass-through
Land Cover,million ha,Constant total land area 8894.19 Mha per FRIDA_to_IAMC.xlsx,calc_total_land_cover_mha,none (constant; Scenario x Run x Year grid from Land Use.Cropland),Mha,constant value 8894.19
Land Cover|Pasture,million ha,Grassland area,land_use_grassland,Land Use.Grassland[*],Mha,direct pass-through
Land Cover|Cropland,million ha,Cropland area,land_use_cropland,Land Use.Cropland[*],Mha,direct pass-through
Land Cover|Forest,million ha,Forest land area,land_use_forest_land,Land Use.Forest Land[*],Mha,direct pass-through
Land Cover|Other Land,million ha,Degraded land area,land_use_degraded_land,Land Use.Degraded Land,Mha,direct pass-through
Building Stock|Residential and Commercial|Floor Space|Gross,billion m2,Actual useful floor area converted from Mm2,calc_building_floor_space_bm2,Concrete.actual useful floor area,Mm2,multiply by 1e-3 (Mm2 -> billion m2)
Carbon Capture|Energy,Mt CO2/yr,CO2 energy emissions captured,ccs_co2_energy_emissions_captured,CCS.CO2 energy emissions captured,MtCO2/year,direct pass-through
Carbon Capture|Energy|Fossil,Mt CO2/yr,End-of-pipe CO2 captured,ccs_end_of_pipe_co2_captured,CCS.end of pipe CO2 captured,MtCO2/year,direct pass-through
Carbon Capture|Energy|Biomass,Mt CO2/yr,BECC CO2 captured,ccs_becc_co2_captured,CCS.BECC CO2 captured,MtCO2/year,direct pass-through
Carbon Capture|Direct Air Capture,Mt CO2/yr,Direct air capture CO2 captured,ccs_direct_air_capture_co2_captured,CCS.direct air capture CO2 captured,MtCO2/year,direct pass-through
Carbon Capture|Leakage,Mt CO2/yr,CO2 emissions from storage leakage,ccs_co2_emissions_from_leakage,CCS.CO2 Emissions from Leakage,MtCO2/year,direct pass-through
Emissions|CH4,Mt CH4/yr,Total CH4 emissions,emissions_total_ch4_emissions,Emissions.Total CH4 Emissions[*],Mt CH4/year,direct pass-through
Emissions|N2O,kt N2O/yr,Total N2O emissions,emissions_total_n2o_emissions,Emissions.Total N2O Emissions[*],kt N2O/year,direct pass-through
Emissions|Sulfur,Mt SO2/yr,Total SO2 emissions,emissions_total_so2_emissions,Emissions.Total SO2 Emissions[*],Mt SO2/year,direct pass-through
Emissions|CO2|AFOLU,Mt CO2/yr,CO2 emissions from food and land use,emissions_co2_emissions_from_food_and_land_use,Emissions.CO2 Emissions from Food and Land Use,Mt CO2/year,direct pass-through
Emissions|CH4|AFOLU,Mt CH4/yr,CH4 emissions from land use,emissions_ch4_emissions_from_food_and_land_use,Emissions.CH4 Emissions from Food and Land Use,MtCH4/Year,direct pass-through
Emissions|N2O|AFOLU,kt N2O/yr,N2O emissions from land use,emissions_n2o_emissions_from_food_and_land_use,Emissions.N2O Emissions from Food and Land Use,ktN2O/Year,direct pass-through
Emissions|Sulfur|AFOLU,Mt SO2/yr,SO2 emissions from land use,emissions_so2_emissions_from_food_and_land_use,Emissions.SO2 Emissions from Food and Land Use,MtSO2/Year,direct pass-through
Emissions|CO2|Energy,Mt CO2/yr,Realized CO2 emissions from energy net of CCS,emissions_realized_co2_emissions_from_energy,Emissions.Realized CO2 emissions from Energy,Mt CO2/year,direct pass-through
Emissions|CH4|Energy,Mt CH4/yr,CH4 emissions from energy,emissions_ch4_emissions_from_energy,Emissions.CH4 Emissions from Energy,Mt CH4/year,direct pass-through
Emissions|N2O|Energy,kt N2O/yr,N2O emissions from energy,emissions_n2o_emissions_from_energy,Emissions.N2O Emissions from Energy,kt N2O/year,direct pass-through
Emissions|Sulfur|Energy,Mt SO2/yr,SO2 emissions from energy,emissions_so2_emissions_from_energy,Emissions.SO2 Emissions from Energy,Mt SO2/year,direct pass-through
Emissions|CO2|Other,Mt CO2/yr,Concrete CO2 plus CCS storage leakage CO2,calc_emissions_co2_other_mtco2,Concrete.CO2 emissions + CCS.CO2 Emissions from Leakage,Mt CO2/year,sum of the two series
Emissions|CH4|Other,Mt CH4/yr,CH4 emissions from other sources,emissions_ch4_emissions_from_other,Emissions.CH4 Emissions from Other,Mt CH4/year,direct pass-through
Emissions|N2O|Other,kt N2O/yr,N2O emissions from other sources,emissions_n2o_emissions_from_other,Emissions.N2O Emissions from Other,kt N2O/year,direct pass-through
Emissions|CO,Mt CO/yr,CO emissions,emissions_co_emissions,Emissions.CO emissions,Mt CO/year,direct pass-through
Emissions|NOx,Mt NO2/yr,Total NOx emissions,emissions_total_nox_emissions,Emissions.Total NOx Emissions,Mt NOx/year,direct pass-through
Emissions|VOC,Mt VOC/yr,VOC emissions,emissions_voc_emissions,Emissions.VOC Emissions,Mt VOC/year,direct pass-through
Emissions|HFC,kt HFC134a-equiv/yr,HFC134a-equivalent emissions,emissions_hfc134a_eq_emissions,Emissions.HFC134a eq Emissions,kt/year,direct pass-through
Final Energy|Carbon Management,EJ/yr,DACC energy usage converted from TWh/yr,calc_final_energy_carbon_management_ej,Energy Demand.DACC energy usage,TWh/year,multiply by 0.0036 (TWh -> EJ)
Primary Energy|Non-Biomass Renewables,EJ/yr,Total non-biomass renewable energy output,calc_primary_energy_non_biomass_renewables_ej,Renewable Energy.Total Non Biomass Renewable Energy Output + Fossil Energy.conversion efficiency of fossil fuels to secondary fossil energy,TWh/Year,"multiply by 0.0036 (TWh -> EJ) then divide by FRIDA's fossil conversion efficiency (input-equivalent primary energy, per scenario/run/year)"
Primary Energy|Hydro,EJ/yr,Hydropower electricity output,calc_primary_energy_hydro_ej,Hydropower energy.Hydropower energy output + Fossil Energy.conversion efficiency of fossil fuels to secondary fossil energy,TWh/year,"multiply by 0.0036 (TWh -> EJ) then divide by FRIDA's fossil conversion efficiency (input-equivalent primary energy, per scenario/run/year)"
Primary Energy|Fossil,EJ/yr,Sum of the three primary fossil fuel inputs; consistent with Resource|Extraction,calc_primary_energy_fossil_ej,Fossil energy coal.Primary Fossil Energy FUEL + Fossil energy oil.Primary Fossil Energy FUEL + Fossil energy gas.Primary Fossil Energy FUEL,ZJ/Year,"sum the three per-fuel primary series then multiply by 1000 (ZJ -> EJ); previously taken from Fossil energy.Secondary Fossil Energy Output, which is post-conversion and understated primary fossil energy by 1/efficiency (~2.5x)"
Resource|Extraction|Coal,EJ/yr,Coal extraction; same FRIDA series as core Primary Energy|Coal,calc_resource_extraction_coal_ej,Fossil energy coal.Primary Fossil Energy FUEL,ZJ/year,multiply by 1000 (ZJ -> EJ; factor unverified against real output)
Resource|Extraction|Oil,EJ/yr,Oil extraction; same FRIDA series as core Primary Energy|Oil,calc_resource_extraction_oil_ej,Fossil energy oil.Primary Fossil Energy FUEL,ZJ/year,multiply by 1000 (ZJ -> EJ; factor unverified against real output)
Resource|Extraction|Gas,EJ/yr,Gas extraction; same FRIDA series as core Primary Energy|Gas,calc_resource_extraction_gas_ej,Fossil energy gas.Primary Fossil Energy FUEL,ZJ/year,multiply by 1000 (ZJ -> EJ; factor unverified against real output)
Secondary Energy|Electricity|Solar,EJ/yr,Solar electricity output,calc_secondary_electricity_solar_ej,Solar energy.Solar Energy Output,TWh/year,multiply by 0.0036 (TWh -> EJ)
Secondary Energy|Electricity|Wind,EJ/yr,Wind electricity output,calc_secondary_electricity_wind_ej,Wind energy.Wind energy output,TWh/year,multiply by 0.0036 (TWh -> EJ)
Secondary Energy|Electricity|Hydro,EJ/yr,Hydropower electricity output at generation,calc_secondary_electricity_hydro_ej,Hydropower energy.Hydropower energy output,TWh/year,"multiply by 0.0036 (TWh -> EJ); no efficiency division - secondary energy stays at generation, unlike Primary Energy|Hydro which is input-equivalent"
Secondary Energy|Electricity|Nuclear,EJ/yr,Nuclear electricity output,calc_secondary_electricity_nuclear_ej,nuclear energy.nuclear energy output,TWh/year,multiply by 0.0036 (TWh -> EJ)
Capacity|Electricity|Solar,GW,Solar energy capacity,solar_energy_solar_energy_capacity,Solar energy.Solar Energy Capacity,GW,direct pass-through
Capacity|Electricity|Wind,GW,Wind energy capacity; module confirmed in FRIDA model (mapping sheet typo),wind_energy_wind_energy_capacity,Wind energy.Wind Energy Capacity,GW,direct pass-through
Capacity|Electricity|Hydro,GW,Hydropower energy capacity; module confirmed in FRIDA model (mapping sheet typo),hydropower_energy_hydropower_energy_capacity,Hydropower energy.Hydropower Energy Capacity,GW,direct pass-through
Capacity|Electricity|Nuclear,GW,Nuclear energy capacity; module confirmed in FRIDA model (mapping sheet typo),nuclear_energy_nuclear_energy_capacity,Nuclear energy.Nuclear Energy Capacity,GW,direct pass-through
Water Withdrawal,km3/yr,Total water withdrawal converted from m3/yr,calc_water_withdrawal_km3,Freshwater.total water withdrawal,m^3/year,multiply by 1e-9 (m3 -> km3)
Water Withdrawal|Irrigation,km3/yr,Agricultural water withdrawal converted from m3/yr,calc_water_withdrawal_irrigation_km3,Freshwater.agricultural water withdrawal,m^3/year,multiply by 1e-9 (m3 -> km3)
Consumption,billion USD_2010/yr,Total final consumption; real private plus real government consumption deflated to 2010 USD,calc_consumption_busd2010,Circular Flow.real private consumption 2021c$ + Circular Flow.real government consumption 2021c$,billion 2021 USD/year,"sum per scenario/run/year then multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD); government term per meeting decision - variable added to FRIDA on the development branch (commit 4058791, 2026-07-30), absent from v3.1-beta1 output"
Expenditure|Households,billion USD_2010/yr,Real private consumption (households) deflated to 2010 USD,calc_expenditure_households_busd2010,Circular Flow.real private consumption 2021c$,billion 2021 USD/year,multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD); private only - split from Consumption when the government term was added there
Debt,billion USD_2010/yr,Real bank assets deflated to 2010 USD,calc_debt_busd2010,Finance.real bank assets 2021c$,billion 2021 USD,multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Debt|Government,billion USD_2010/yr,Real government debt deflated to 2010 USD,calc_debt_government_busd2010,Government.real government debt 2021c$,billion 2021 USD,multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Expenditure|Government,billion USD_2010/yr,Real public expenditure deflated to 2010 USD,calc_expenditure_government_busd2010,Government.real public expenditure 2021c$ (sheet writes 2201c$),billion 2021 USD/year,multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Revenue|Government,billion USD_2010/yr,Real total public tax income deflated to 2010 USD,calc_revenue_government_busd2010,Government.real total public tax income 2021c$,billion 2021 USD/year,multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Investment,billion USD_2010/yr,Real total investment deflated to 2010 USD,calc_investment_busd2010,Finance.real total investment 2021c$,bc$/year per FRIDA.stmx (billion constant 2021 USD),multiply by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Investment|Energy Supply,billion USD_2010/yr,Total energy investments deflated to 2010 USD,calc_investment_energy_supply_busd2010,Energy Investments.total investment (sheet writes total investments),c$/Year per FRIDA.stmx (plain constant 2021 USD),multiply by 1e-9 (USD -> billion USD) and by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Investment|Energy Supply|Extraction|Coal,billion USD_2010/yr,Coal investments in fossil fuel extraction capital deflated,calc_investment_extraction_coal_busd2010,Energy Investments.Coal Investments Allocated to Capacity Construction in Fossil Fuel Extraction Capital,c$/Year per FRIDA.stmx (plain constant 2021 USD),multiply by 1e-9 (USD -> billion USD) and by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Investment|Energy Supply|Extraction|Oil,billion USD_2010/yr,Oil gross investments in fossil fuel extraction capital deflated,calc_investment_extraction_oil_busd2010,Energy Investments.Oil Gross Investments in Fossil Fuel Extraction Capital,c$/Year per FRIDA.stmx (plain constant 2021 USD),multiply by 1e-9 (USD -> billion USD) and by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Investment|Energy Supply|Extraction|Gas,billion USD_2010/yr,Gas gross investments in fossil fuel extraction capital deflated,calc_investment_extraction_gas_busd2010,Energy Investments.Gas Gross Investments in Fossil Fuel Extraction Capital,c$/Year per FRIDA.stmx (plain constant 2021 USD),multiply by 1e-9 (USD -> billion USD) and by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Investment|Energy Supply|Electricity|Solar,billion USD_2010/yr,Solar capacity construction investments deflated; unit blank in mapping sheet - verify,calc_investment_electricity_solar_busd2010,Energy Investments.Investments Allocated to Capacity Construction in Solar Energy Capacity,c$/Year per FRIDA.stmx (plain constant 2021 USD),multiply by 1e-9 (USD -> billion USD) and by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Investment|Energy Supply|Electricity|Wind,billion USD_2010/yr,Wind capacity construction investments deflated; unit blank in mapping sheet - verify,calc_investment_electricity_wind_busd2010,Energy Investments.Investments Allocated to Capacity Construction in wind Energy Capacity,c$/Year per FRIDA.stmx (plain constant 2021 USD),multiply by 1e-9 (USD -> billion USD) and by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Investment|Energy Supply|Electricity|Hydro,billion USD_2010/yr,Hydropower capacity construction investments deflated; unit blank in mapping sheet - verify,calc_investment_electricity_hydro_busd2010,Energy Investments.Investments Allocated to Capacity Construction in Hydropower Energy capacity,c$/Year per FRIDA.stmx (plain constant 2021 USD),multiply by 1e-9 (USD -> billion USD) and by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Investment|Energy Supply|Electricity|Nuclear,billion USD_2010/yr,Nuclear capacity investments deflated; unit blank in mapping sheet - verify,calc_investment_electricity_nuclear_busd2010,Energy Investments.Investments in Nuclear Capacity,c$/Year per FRIDA.stmx (plain constant 2021 USD),multiply by 1e-9 (USD -> billion USD) and by 1/1.36716299937247 = 0.731445 (2021 -> 2010 USD)
Labor Force|Employed,million,Employed persons,employment_employed,Employment.Employed,Mp (millions of people),direct pass-through
Labor Force|Unemployed,million,Unemployed persons,employment_unemployed,Employment.Unemployed,Mp (millions of people),direct pass-through
Labor Force|Inactive,million,Non-active working age persons,employment_non_active_working_age,Employment.non active working age,Mp (millions of people),direct pass-through
Labor Force|Active,million,Employed plus unemployed,calc_labour_force_active_m,Employment.Employed + Employment.Unemployed,Mp (millions of people),sum of the two series
Labor Force|Unemployment [Rate],%,Unemployment rate share converted to percent,calc_unemployment_rate_pct,Employment.unemployment rate,dmnl,multiply by 100 (share -> percent)
Primary Energy|Coal|w/ CCS,EJ/yr,Coal primary energy used in combination with CCS,calc_primary_energy_coal_wccs_ej,Fossil energy coal.Primary Fossil Energy FUEL + Fossil energy coal.endogenous share of emissions stored,zJ/Year; share dmnl,"multiply by 1000 (ZJ -> EJ) then by the endogenous share of emissions routed to storage rather than the carbon tax (FRIDA's per-fuel CCS adoption decision, joined per scenario/run/year); this allocation share stands in for the energy w/ CCS split, which FRIDA does not model at plant level"
Primary Energy|Gas|w/ CCS,EJ/yr,Gas primary energy used in combination with CCS,calc_primary_energy_gas_wccs_ej,Fossil energy gas.Primary Fossil Energy FUEL + Fossil energy gas.endogenous share of emissions stored,zJ/Year; share dmnl,"multiply by 1000 (ZJ -> EJ) then by the endogenous share of emissions routed to storage rather than the carbon tax (FRIDA's per-fuel CCS adoption decision, joined per scenario/run/year); this allocation share stands in for the energy w/ CCS split, which FRIDA does not model at plant level"
Primary Energy|Oil|w/ CCS,EJ/yr,Oil primary energy used in combination with CCS,calc_primary_energy_oil_wccs_ej,Fossil energy oil.Primary Fossil Energy FUEL + Fossil energy oil.endogenous share of emissions stored,zJ/Year; share dmnl,"multiply by 1000 (ZJ -> EJ) then by the endogenous share of emissions routed to storage rather than the carbon tax (FRIDA's per-fuel CCS adoption decision, joined per scenario/run/year); this allocation share stands in for the energy w/ CCS split, which FRIDA does not model at plant level"
Primary Energy|Fossil|w/ CCS,EJ/yr,Fossil primary energy used in combination with CCS,calc_primary_energy_fossil_wccs_ej,(computed - sum of Primary Energy|Coal/Gas/Oil|w/ CCS),EJ/year,sum of the three per-fuel w/ CCS series
Primary Energy|Biomass|w/ CCS,EJ/yr,Biomass primary energy used in combination with CCS,calc_primary_energy_biomass_wccs_ej,Bio fuel energy.bio fuel primary energy + Fossil energy oil.endogenous share of emissions stored,zJ/Year; share dmnl,"multiply by 1000 (ZJ -> EJ) then by the oil endogenous storage-allocation share, joined per scenario/run/year (team decision: biofuel liquids burn in oil-type plants, FRIDA caps biofuel burning-emissions storage at the oil parameters, so the oil share stands in for the biomass energy w/ CCS split - same basis as the fossil w/ CCS variables); biofuel has a real primary energy series in FRIDA (energy content x production) so it is used directly, like coal/oil/gas; replaces the capture-based split (capturable 0.56 x realized BECC capture rate)"
